cpd_id,is_Rgroup,gnn,dgp_original,dgp_retrained,eq_structurebased,eq_detail
cpd24027,False,1,0,1,0,found_notEst
cpd24028,False,1,0,1,0,found_notEst
cpd24029,False,1,0,0,0,found_notEst
cpd24030,False,1,0,1,0,found_notEst
cpd24031,False,1,0,1,0,found_notEst
cpd24032,False,1,0,1,0,found_notEst
cpd24033,False,1,0,1,0,found_notEst
cpd24034,False,1,1,1,1,covered
cpd24035,False,1,0,0,0,found_notEst
cpd24036,False,1,0,1,0,found_notEst
cpd24037,False,1,0,1,1,covered
cpd24038,False,1,0,1,1,covered
cpd24039,False,1,0,1,1,covered
cpd24040,False,1,0,1,0,found_notEst
cpd24041,False,1,0,1,1,covered
cpd24042,False,1,0,1,0,found_notEst
cpd24043,False,1,0,1,0,found_notEst
cpd24044,False,1,0,1,1,covered
cpd24045,False,1,0,1,0,found_notEst
cpd24046,False,1,0,1,0,found_notEst
cpd24047,False,1,0,1,0,found_notEst
cpd24048,False,1,0,1,0,notfound
cpd24049,False,1,0,1,0,found_notEst
cpd24050,False,1,0,0,0,notfound
cpd24051,False,1,0,1,0,found_notEst
cpd24052,False,1,0,1,0,found_notEst
cpd24053,False,1,0,1,0,notfound
cpd24054,False,1,0,1,0,found_notEst
cpd24055,False,1,0,1,0,found_notEst
cpd24056,False,1,0,1,0,found_notEst
cpd24057,False,1,0,1,0,found_notEst
cpd24058,True,1,0,0,,
cpd24059,True,1,0,0,,
cpd24060,False,1,0,1,0,found_notEst
cpd24061,False,1,0,1,1,covered
cpd24062,False,1,0,1,1,covered
cpd24063,False,1,0,1,1,covered
cpd24064,False,1,0,0,1,covered
cpd24065,False,1,1,1,1,covered
cpd24066,False,1,1,1,1,covered
cpd24067,False,1,0,1,0,found_notEst
cpd24068,False,1,0,1,0,found_notEst
cpd24069,False,1,0,1,0,found_notEst
cpd24070,False,1,0,1,0,found_notEst
cpd24071,False,1,0,1,0,found_notEst
cpd24072,False,1,0,1,0,found_notEst
cpd24073,False,1,0,1,0,found_notEst
cpd24074,False,1,0,1,1,covered
