method,variant,coverable_compounds,complete_structure_denominator,pct_of_complete_structures,pct_of_active_compounds,note
GNN,learned graph (S*f),30335,30335,100.0,66.4,needs only an RDKit-parseable molecular graph; ceiling for any structure method
dGPredictor,retrained (Andrew/ModelSEED),26461,30335,87.2,58.0,frozen ModelSEED-derived vocab (r1=2383/r2=36759); fails on 3874 post-snapshot novel-group compounds
dGPredictor,original (KEGG-trained),5340,30335,17.6,11.7,fixed KEGG vocab (r1=1435/r2=24881); most ModelSEED groups out-of-domain
eQuilibrator,structure-based (InChIKey -> cache),13284,30264,43.9,29.1,cache-miss 5719 + in-cache-but-not-estimable 11261 (infinite uncertainty)
eQuilibrator,as-deployed (KEGG-gated),17555,30335,57.9,38.4,upper bound = compounds with a ModelSEED->KEGG id; deployed pipeline covers ~57% of reactions
