cpd,name,our_charge,du_pH7_charge,agree
cpd02311,4-Imidazolone-5-propanoate,-1,-1,1
cpd02324,L-5-Carboxymethylhydantoin,-1,-1,1
cpd02375,Adenylosuccinate,-4,-4,1
cpd02431,1-Pyrroline-5-carboxylate,-1,-1,1
cpd02441,3-Dehydro-2-deoxy-D-gluconate,-1,-1,1
cpd02448,"2,4-Diaminopentanoate",1,1,1
cpd02469,enol-Oxaloacetate,-2,-2,1
cpd02510,"(9Z,11E)-Octadecadienoic acid",-1,-1,1
cpd02536,Muconolactone,-1,-1,1
cpd02543,4-(Trimethylammonio)but-2-enoate,0,0,1
cpd02553,Octopine,0,0,1
cpd02574,methylthioribose-1-phosphate,-2,-2,1
cpd02611,N-Acetyl-D-glucosamine1-phosphate,-2,-2,1
cpd02612,N-Acetylmannosamine 6-phosphate,-2,-2,1
cpd02616,"dTDP-4-amino-4,6-dideoxy-D-glucose",-1,-1,1
cpd02654,4-Methyl-5--2-phosphoethyl-thiazole,-2,-2,1
cpd02662,Malyl-CoA,-5,-5,1
cpd02673,"3-(3,5-Diiodo-4-hydroxyphenyl)lactate",-1,-1,1
cpd02698,"N-Succinyl-L-2,6-diaminopimelate",-2,-2,1
cpd02711,2-Keto-3-deoxy-6-phosphogluconate,-3,-3,1
cpd02724,N-Succinyl-L-2-amino-6-oxopimelate,-3,-3,1
cpd02836,"(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate",-1,-1,1
cpd02851,AICAR,-2,-2,1
cpd02884,FAICAR,-2,-2,1
cpd02889,Alprostadil,-1,-1,1
cpd02894,4-Amino-2-methyl-5-diphosphomethylpyrimidine,-2,-2,1
cpd02921,SAICAR,-4,-4,1
cpd03122,(S)-Hydroxyhexanoyl-CoA,-4,-4,1
cpd03123,3-Oxohexanoyl-CoA,-4,-4,1
cpd03125,(2E)-Hexenoyl-CoA,-4,-4,1
cpd03198,Melibiose,0,0,1
cpd03221,Zymosterol,0,0,1
cpd03222,"5alpha-Cholesta-7,24-dien-3beta-ol",0,0,1
cpd03279,Deoxyinosine,0,0,1
cpd03292,Penicillin G,-1,-1,1
cpd03518,Formamidopyrimidine nucleoside triphosphate,-3,-3,1
cpd03535,Phosphoarginine,-1,-1,1
cpd03561,2-Hydroxybutyrate,-1,-1,1
cpd03583,D-arabino-6-Phospho-hex-3-ulose,-2,-2,1
cpd03662,n-Butanol,0,0,1
cpd03671,D-Glucosamine1-phosphate,-1,-1,1
cpd03763,"Cyclohexa-1,5-dienecarbonyl-CoA",-4,-4,1
cpd03880,D-Altrose,0,0,1
cpd03884,D-Psicose,0,0,1
cpd04130,6-Hydroxycyclohex-1-enecarbonyl-CoA,-4,-4,1
cpd05400,3-Hexenol,0,0,1
cpd08210,ADC,-1,-1,1
cpd08505,Anandamide,0,0,1
cpd09876,Lombricine,0,0,1
cpd09877,N-Phospholombricine,-2,-2,1
cpd10719,D-Carnitine,0,0,1
cpd11314,L-Sorbosonate,-1,-1,1
cpd15026,3-Hexenal,0,0,1
cpd16300,Palmidrol,0,0,1
cpd17073,2-amino-2-deoxyisochorismic acid,-1,-1,1
cpd19006,alpha-D-Glucose 6-phosphate,-2,-2,1
cpd19008,(R)-Acetoin,0,0,1
cpd19069,Phenylacetic acid,-1,-1,1
cpd27436,"D-mannitol, 1-(dihydrogenphosphate)",-2,-2,1
cpd00042,GSH,-2,-1,0
cpd00290,"D-fructose-1,6-bisphosphate",-4,-3,0
cpd00296,dGMP,-2,0,0
cpd00482,2-Phospho-D-glycerate,-3,-2,0
cpd01896,6-Aminopenicillanate,0,-1,0
cpd02233,Ciliatine,0,-1,0
