du_compound_id,name,smiles,inchikey,inchikey_block,has_dG_f,has_dH_f,has_dS_f,matched_cpd,in_abinitio_set
CHS_10120,,CCC(C)S,LOCHFZBWPCLPAN-UHFFFAOYSA-N,LOCHFZBWPCLPAN,0,0,1,,0
CHS_10245,,Cc1cc(C)c(C)c(C)c1,BFIMMTCNYPIMRN-UHFFFAOYSA-N,BFIMMTCNYPIMRN,0,0,1,,0
CHS_10253,,CC(C)c1ccccc1C,WWRCMNKATXZARA-UHFFFAOYSA-N,WWRCMNKATXZARA,0,0,1,,0
CHS_10265264,,C[C@H]1CC[C@H](C)CC1,QRMPKOFEUHIBNM-ZKCHVHJHSA-N,QRMPKOFEUHIBNM,0,0,1,,0
CHS_10355,,CC(C)c1cccc(C)c1,XCYJPXQACVEIOS-UHFFFAOYSA-N,XCYJPXQACVEIOS,0,0,1,,0
CHS_10420,,CCCCC(=O)OCC,ICMAFTSLXCXHRK-UHFFFAOYSA-N,ICMAFTSLXCXHRK,0,0,1,,0
CHS_10433,,CCC(=O)OCC(C)C,FZXRXKLUIMKDEL-UHFFFAOYSA-N,FZXRXKLUIMKDEL,0,0,1,,0
CHS_10446,,CC(=O)OC(C)(C)C,WMOVHXAZOJBABW-UHFFFAOYSA-N,WMOVHXAZOJBABW,0,0,1,,0
CHS_10462,,CC(C)CCS,GIJGXNFNUUFEGH-UHFFFAOYSA-N,GIJGXNFNUUFEGH,0,0,1,,0
CHS_10492,,CC(C)COC=O,AVMSWPWPYJVYKY-UHFFFAOYSA-N,AVMSWPWPYJVYKY,0,0,1,,0
CHS_10511,,CCCCCC(C)O,CETWDUZRCINIHU-UHFFFAOYSA-N,CETWDUZRCINIHU,0,0,1,,0
CHS_10653,,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,RJUFJBKOKNCXHH,0,0,1,,0
CHS_10709,,CCCOC,VNKYTQGIUYNRMY-UHFFFAOYSA-N,VNKYTQGIUYNRMY,0,0,1,,0
CHS_10755,,CCC(C)(C)CC,AEXMKKGTQYQZCS-UHFFFAOYSA-N,AEXMKKGTQYQZCS,0,0,1,,0
CHS_10777,,CC(C)C(C)=O,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,SYBYTAAJFKOIEJ,0,0,1,,0
CHS_10786,,CCC(C)C(C)C,WGECXQBGLLYSFP-UHFFFAOYSA-N,WGECXQBGLLYSFP,0,0,1,,0
CHS_10788,,CCC(C)C(C)=O,UIHCLUNTQKBZGK-UHFFFAOYSA-N,UIHCLUNTQKBZGK,0,0,1,,0
CHS_10791,,CCC(=O)C(C)C,HYTRYEXINDDXJK-UHFFFAOYSA-N,HYTRYEXINDDXJK,0,0,1,,0
CHS_10795,,CC(C)C(C)C(C)C,RLPGDEORIPLBNF-UHFFFAOYSA-N,RLPGDEORIPLBNF,0,0,1,,0
CHS_10797,,CC(C)C(=O)C(C)C,HXVNBWAKAOHACI-UHFFFAOYSA-N,HXVNBWAKAOHACI,0,0,1,,0
CHS_109838,,CCOCCOC,CAQYAZNFWDDMIT-UHFFFAOYSA-N,CAQYAZNFWDDMIT,0,0,1,,0
CHS_11023,,CCCC(C)CC,VLJXXKKOSFGPHI-UHFFFAOYSA-N,VLJXXKKOSFGPHI,0,0,1,,0
